"ID_Immobile_cantiere","rif_cantiere","nome_cantiere","cantiere","stato_cantiere","agenzia","referente_cantiere","Indirizzo","coordinate","n_immobili","ID_Immobile","Rif","Stato_Immobile","Stato_trattativa","Richiesta","Macro_Tipologia","in_pubblicita","Tipologia","Sub_Tipologia","MQ_Commerciali_da","N_Bagni","N_Camere_da_Letto","Giardino","Ultimo_Agg_Prezzo","avanzamento_lavori","Inizio_Lavori","Consegna","classe_energetica"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45609","1016-19b","Venduto/Affittato da ISP","Stipula/Contratto","486600","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","113","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45611","1016-19c","Venduto/Affittato da ISP","Stipula/Contratto","391600","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","111","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45613","1016-19d","Venduto/Affittato da ISP","Stipula/Contratto","295000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","98","2","2","Assente",NULL,,NULL,NULL,"*A+"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45615","1016-19g","Venduto/Affittato da ISP","Stipula/Contratto","355000","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","110","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45617","1016-19j","Venduto/Affittato da ISP","Stipula/Contratto","360000","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","113","2","3","Condominiale",NULL,,NULL,NULL,"*A+"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45619","1016-19k","Venduto/Affittato da ISP","Stipula/Contratto","441600","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","109","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45621","1016-19o","In Trattativa","Proposta","446000","Appartamento","Non in Pubblicità","Appartamento","5 Locali","144","2","3","Privato",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45623","1016-19p","Pubblicato",,"419000","Appartamento","In Pubblicità","Appartamento","Quadrilocale","127","2","3","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45625","1016-19q","In Trattativa","Proposta","318000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","98","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45627","1016-19r","In Trattativa","Proposta","355000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","113","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45629","1016-19s","In Trattativa","Proposta","353000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","114","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45631","1016-19t","In Trattativa","Proposta","429000","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","125","2","3","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45633","1016-19u","In Trattativa","Proposta","328000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","99","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45635","1016-19v","Pubblicato",,"387000","Appartamento","In Pubblicità","Appartamento","Trilocale","112","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45637","1016-19w","In Trattativa","Proposta","363000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","99","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45639","1016-19x","Archiviato",,"566600","Appartamento","Non in Pubblicità","Attico","Più di 5 Locali","163","2","5","Condominiale",NULL,,NULL,NULL,"*A+"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","45641","1016-19y","Pubblicato",,"567000","Appartamento","In Pubblicità","Attico","Più di 5 Locali","164","2","3","Condominiale",NULL,,NULL,NULL,"A4"
"45337","1016-19",,"1016-19 ","Cantiere/Gruppo Terminato","Castel Maggiore","Parmeggiani Claudio","Castel Maggiore, Verdi snc","44.5694, 11.3605","19","47383","1016-19l","Venduto/Affittato da ISP","Stipula/Contratto","391600","Appartamento","Non in Pubblicità","Appartamento","Trilocale","97","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
